discover question id,question name,creator id,question starts at,question ends at,question description,question status,question published at,question resolved at,question correctness known at,use ordinal scoring,question created at,question tags,question challenges,discover answer id,answer name,answer initial probability,answer sort order,answer resolved at,answer resolved by user id,answer resolved probability,answer correctness known at,answer created at,clarification 1,clarification 2,clarification 3,IFP Generation Method,Country - Primary,Country - Secondary,Topic,Region,Non-state violence (Terrorism),Domain,Created By,Deaths,RCT,Controversial,Departure from Status Quo Resolution (Binary Only)
5,How many battle deaths will ACLED record in Sudan in August 2017?,1048,2017-08-09T16:30:15Z,2017-09-01T03:59:15Z,"The Armed Conflict Location and Event Dataset (ACLED) summarizes press reports on conflict and protest events in Africa and parts of Asia. Outcome will be determined by ""The Realtime August 2017 All Africa File"" found on the Realtime Data Page ( http://www.acleddata.com/data/realtime-data/ ). The count of battle deaths for August 2017 are obtained by summing the 'FATALITIES’ column for events in which the 'COUNTRY’ is: Sudan; 'EVENT_TYPE’ is: Battle-Government regains territory, Battle-No change of territory, or Battle-Non-state actor overtakes territory; and 'EVENT_DATE' is in August 2017. The question will be suspended on 31 August 2017 and resolved using data retrieved mid-September 2017.",archived,2017-08-09T16:30:29Z,2017-09-21T19:23:53Z,2017-09-01T03:59:43Z,TRUE,2017-08-03T13:54:07Z,[],[],13,Less than 7,0.2,0,2017-09-21T19:23:53Z,1048,0,2017-09-01T03:59:43Z,2017-08-03T13:54:07Z,,,,Data-Driven (R Script),Sudan,,ACLED battle deaths,,,,,,,,
5,How many battle deaths will ACLED record in Sudan in August 2017?,1048,2017-08-09T16:30:15Z,2017-09-01T03:59:15Z,"The Armed Conflict Location and Event Dataset (ACLED) summarizes press reports on conflict and protest events in Africa and parts of Asia. Outcome will be determined by ""The Realtime August 2017 All Africa File"" found on the Realtime Data Page ( http://www.acleddata.com/data/realtime-data/ ). The count of battle deaths for August 2017 are obtained by summing the 'FATALITIES’ column for events in which the 'COUNTRY’ is: Sudan; 'EVENT_TYPE’ is: Battle-Government regains territory, Battle-No change of territory, or Battle-Non-state actor overtakes territory; and 'EVENT_DATE' is in August 2017. The question will be suspended on 31 August 2017 and resolved using data retrieved mid-September 2017.",archived,2017-08-09T16:30:29Z,2017-09-21T19:23:53Z,2017-09-01T03:59:43Z,TRUE,2017-08-03T13:54:07Z,[],[],14,"Between 7 and 46, inclusive",0.2,1,2017-09-21T19:23:53Z,1048,1,2017-09-01T03:59:43Z,2017-08-03T13:54:07Z,,,,Data-Driven (R Script),Sudan,,ACLED battle deaths,,,,,,,,
5,How many battle deaths will ACLED record in Sudan in August 2017?,1048,2017-08-09T16:30:15Z,2017-09-01T03:59:15Z,"The Armed Conflict Location and Event Dataset (ACLED) summarizes press reports on conflict and protest events in Africa and parts of Asia. Outcome will be determined by ""The Realtime August 2017 All Africa File"" found on the Realtime Data Page ( http://www.acleddata.com/data/realtime-data/ ). The count of battle deaths for August 2017 are obtained by summing the 'FATALITIES’ column for events in which the 'COUNTRY’ is: Sudan; 'EVENT_TYPE’ is: Battle-Government regains territory, Battle-No change of territory, or Battle-Non-state actor overtakes territory; and 'EVENT_DATE' is in August 2017. The question will be suspended on 31 August 2017 and resolved using data retrieved mid-September 2017.",archived,2017-08-09T16:30:29Z,2017-09-21T19:23:53Z,2017-09-01T03:59:43Z,TRUE,2017-08-03T13:54:07Z,[],[],15,More than 46 but less than 122,0.2,2,2017-09-21T19:23:53Z,1048,0,2017-09-01T03:59:43Z,2017-08-03T13:54:07Z,,,,Data-Driven (R Script),Sudan,,ACLED battle deaths,,,,,,,,
5,How many battle deaths will ACLED record in Sudan in August 2017?,1048,2017-08-09T16:30:15Z,2017-09-01T03:59:15Z,"The Armed Conflict Location and Event Dataset (ACLED) summarizes press reports on conflict and protest events in Africa and parts of Asia. Outcome will be determined by ""The Realtime August 2017 All Africa File"" found on the Realtime Data Page ( http://www.acleddata.com/data/realtime-data/ ). The count of battle deaths for August 2017 are obtained by summing the 'FATALITIES’ column for events in which the 'COUNTRY’ is: Sudan; 'EVENT_TYPE’ is: Battle-Government regains territory, Battle-No change of territory, or Battle-Non-state actor overtakes territory; and 'EVENT_DATE' is in August 2017. The question will be suspended on 31 August 2017 and resolved using data retrieved mid-September 2017.",archived,2017-08-09T16:30:29Z,2017-09-21T19:23:53Z,2017-09-01T03:59:43Z,TRUE,2017-08-03T13:54:07Z,[],[],16,"Between 122 and 321, inclusive",0.2,3,2017-09-21T19:23:53Z,1048,0,2017-09-01T03:59:43Z,2017-08-03T13:54:07Z,,,,Data-Driven (R Script),Sudan,,ACLED battle deaths,,,,,,,,
5,How many battle deaths will ACLED record in Sudan in August 2017?,1048,2017-08-09T16:30:15Z,2017-09-01T03:59:15Z,"The Armed Conflict Location and Event Dataset (ACLED) summarizes press reports on conflict and protest events in Africa and parts of Asia. Outcome will be determined by ""The Realtime August 2017 All Africa File"" found on the Realtime Data Page ( http://www.acleddata.com/data/realtime-data/ ). The count of battle deaths for August 2017 are obtained by summing the 'FATALITIES’ column for events in which the 'COUNTRY’ is: Sudan; 'EVENT_TYPE’ is: Battle-Government regains territory, Battle-No change of territory, or Battle-Non-state actor overtakes territory; and 'EVENT_DATE' is in August 2017. The question will be suspended on 31 August 2017 and resolved using data retrieved mid-September 2017.",archived,2017-08-09T16:30:29Z,2017-09-21T19:23:53Z,2017-09-01T03:59:43Z,TRUE,2017-08-03T13:54:07Z,[],[],17,More than 321,0.2,4,2017-09-21T19:23:53Z,1048,0,2017-09-01T03:59:43Z,2017-08-03T13:54:07Z,,,,Data-Driven (R Script),Sudan,,ACLED battle deaths,,,,,,,,
6,Will ACLED record any riot/protest events in the Cote d'Ivoire (Ivory Coast) during August 2017?,1048,2017-08-09T16:30:10Z,2017-09-01T03:59:10Z,"The Armed Conflict Location and Event Dataset (ACLED) summarizes press reports on conflict and protest events in Africa and parts of Asia.  Outcome will be determined by ""The Realtime August 2017 All Africa File"" found on the Realtime Data Page ( http://www.acleddata.com/data/realtime-data/ ). The question will resolve as ""yes"" if ACLED records any event for which: 'COUNTRY’ is: Ivory Coast; 'EVENT_DATE' falls in August 2017; and 'EVENT TYPE’ is: Riots/Protests. The question will be suspended on 31 August 2017 and resolved using data retrieved mid-September 2017.",archived,2017-08-09T16:30:06Z,2017-09-21T19:20:34Z,2017-08-06T03:59:01Z,FALSE,2017-08-03T14:05:01Z,[],[],18,Yes,0.5,0,2017-09-21T19:20:34Z,1048,1,2017-08-06T03:59:01Z,2017-08-03T14:05:01Z,,,,Data-Driven (R Script),Ivory Coast,,ACLED riot/protest events,Africa,No,Politics/International Relations,MITRE,,,,
7,"Will FEWS NET publish a Food Security Alert with ""famine"" and ""Yemen"" in its headline between 9 August 2017 and 25 October 2017?",1048,2017-08-09T16:30:06Z,2017-10-26T03:59:06Z,"The Famine Early Warning Systems Network ( http://www.fews.net/about-us ) provides early warning and analysis on acute food insecurity around the world. This question will resolve as ""yes"" if FEWS NET publishes one or more Food Security Alert(s) between 9 August 2017 and 25 October 2017 that includes the words ""famine"" and ""Yemen"" in its headline (https://www.fews.net/search?date_range=All&field_report_type%5B%5D=78&keywords=&field_report_coverage_period_value=&field_report_coverage_period_value_1=&sort_by=field_report_coverage_period_value&sort_order=DESC&report_sort_by=DESC).",archived,2017-08-09T16:30:42Z,2017-10-30T17:26:44Z,2017-10-26T03:59:43Z,FALSE,2017-08-03T15:10:28Z,[],[],19,Yes,0.5,0,2017-10-30T17:26:44Z,1048,0,2017-10-26T03:59:43Z,2017-08-03T15:10:28Z,,,,,Yemen,,FEWSNET alerts,,,,,,,,
8,"Will the Political Instability Task Force (PITF) Worldwide Atrocities Dataset record an event perpetrated by a non-state actor in Israel that starts between 9 August 2017 and 31 August 2017, inclusive?",1053,2017-08-09T16:30:16Z,2017-09-01T03:59:16Z,"The question will resolve as ""yes"" if the PITF Worldwide Atrocities Dataset ( http://eventdata.parusanalytics.com/data.dir/atrocities.html ) records any event with a start date (Start Month, Start Day, Start Year) between 9 August 2017 and 31 August 2017, inclusive, for which 'Event Location: Country' is: ISR (Israel), and 'Perpetrators: Perp State Role' is: Multiple Perpetrators (Non-State); Non-State, Internal, No State Sanction; Transnational, Non-State; or Unknown/Unclear/Other. Question will be suspended on 31 August 2017 and resolved when the August data is released, typically in mid-September via the .zip file which begins with January 2016.",archived,2017-08-09T16:30:19Z,2017-10-09T19:14:31Z,2017-09-01T03:59:11Z,FALSE,2017-08-04T19:55:19Z,[],[],20,Yes,0.5,0,2017-10-09T19:14:31Z,1048,0,2017-09-01T03:59:11Z,2017-08-04T19:55:19Z,,,,Data-Driven (R Script),Israel,,PITF atrocities with non-state perpetrator,,,,,,,,
9,How many 'hacking or malware (HACK)' data breaches will Privacy Rights Clearinghouse record for September 2017?,1053,2017-08-09T16:30:39Z,2017-10-01T03:59:39Z,"This question will be resolved using Privacy Rights Clearinghouse's Chronology of Data Breaches (https://www.privacyrights.org/data-breaches). The relevant data can be found by selecting 'Hacking or Malware (HACK)' as the type of breach to display, selecting '2017' as the year, downloading the 'Data Breach File', and then counting the number of entries, for all organizations, in which 'Date Made Public' falls in September 2017.  The question will be suspended on 30 September 2017 and scored using data downloaded from the online chronology on October 31.
",archived,2017-08-09T16:30:19Z,2017-11-08T20:34:41Z,2017-10-01T03:59:57Z,TRUE,2017-08-04T20:16:46Z,[],[],21,Less than 15,0.2,0,2017-11-08T20:34:41Z,1043,0,2017-10-01T03:59:57Z,2017-08-04T20:16:46Z,,,,Data-Driven (R Script),N/A - Not Country-specific,,Cyber attacks,,,,,,,,
9,How many 'hacking or malware (HACK)' data breaches will Privacy Rights Clearinghouse record for September 2017?,1053,2017-08-09T16:30:39Z,2017-10-01T03:59:39Z,"This question will be resolved using Privacy Rights Clearinghouse's Chronology of Data Breaches (https://www.privacyrights.org/data-breaches). The relevant data can be found by selecting 'Hacking or Malware (HACK)' as the type of breach to display, selecting '2017' as the year, downloading the 'Data Breach File', and then counting the number of entries, for all organizations, in which 'Date Made Public' falls in September 2017.  The question will be suspended on 30 September 2017 and scored using data downloaded from the online chronology on October 31.
",archived,2017-08-09T16:30:19Z,2017-11-08T20:34:41Z,2017-10-01T03:59:57Z,TRUE,2017-08-04T20:16:46Z,[],[],22,"Between 15 and 23, inclusive",0.2,1,2017-11-08T20:34:41Z,1043,1,2017-10-01T03:59:57Z,2017-08-04T20:16:46Z,,,,Data-Driven (R Script),N/A - Not Country-specific,,Cyber attacks,,,,,,,,
